rho,seed,context_split,gamma,reward,spent_ratio,tau
0.85,10129,train,1.0,232.0,0.5406342885073494,5000
0.85,10130,train,1.0,226.0,0.5406342885073494,5000
0.85,10131,train,1.0,238.0,0.5406342885073494,5000
0.85,10132,train,1.0,221.0,0.5406342885073494,5000
0.85,10123,train,2.0,232.0,0.5406342885073494,5000
0.85,10124,train,2.0,241.0,0.5406342885073494,5000
0.85,10125,train,2.0,199.0,0.5406342885073494,5000
0.85,10126,train,2.0,235.0,0.5406342885073494,5000
0.85,10127,train,2.0,230.0,0.5406342885073494,5000
0.85,10128,train,2.0,227.0,0.5406342885073494,5000
0.85,10129,train,2.0,225.0,0.5406342885073494,5000
0.85,10130,train,2.0,230.0,0.5406342885073494,5000
0.85,10131,train,2.0,235.0,0.5406342885073494,5000
0.85,10132,train,2.0,215.0,0.5406342885073494,5000
0.85,10123,train,3.0,206.0,0.5406342885073494,5000
0.85,10124,train,3.0,222.0,0.5406342885073494,5000
0.85,10125,train,3.0,208.0,0.5406342885073494,5000
0.85,10126,train,3.0,219.0,0.5406342885073494,5000
0.85,10127,train,3.0,225.0,0.5406342885073494,5000
0.85,10128,train,3.0,216.0,0.5406342885073494,5000
0.85,10129,train,3.0,218.0,0.5406342885073494,5000
0.85,10130,train,3.0,244.0,0.5406342885073494,5000
0.85,10131,train,3.0,218.0,0.5406342885073494,5000
0.85,10132,train,3.0,221.0,0.5406342885073494,5000
0.85,10123,train,5.0,250.0,0.5406342885073494,5000
0.85,10124,train,5.0,231.0,0.5406342885073494,5000
0.85,10125,train,5.0,210.0,0.5406342885073494,5000
0.85,10126,train,5.0,260.0,0.5406342885073494,5000
0.85,10127,train,5.0,206.0,0.5406342885073494,5000
0.85,10128,train,5.0,198.0,0.5406342885073494,5000
0.85,10129,train,5.0,241.0,0.5406342885073494,5000
0.85,10130,train,5.0,239.0,0.5406342885073494,5000
0.85,10131,train,5.0,257.0,0.5406342885073494,5000
0.85,10132,train,5.0,216.0,0.5406342885073494,5000
0.85,10123,train,10.0,212.0,0.5406342885073494,5000
0.85,10124,train,10.0,220.0,0.5406342885073494,5000
0.85,10125,train,10.0,251.0,0.5406342885073494,5000
0.85,10126,train,10.0,232.0,0.5406342885073494,5000
0.85,10127,train,10.0,225.0,0.5406342885073494,5000
0.85,10128,train,10.0,233.0,0.5406342885073494,5000
0.85,10129,train,10.0,239.0,0.5406342885073494,5000
0.85,10130,train,10.0,231.0,0.5406342885073494,5000
0.85,10131,train,10.0,208.0,0.5406342885073494,5000
0.85,10132,train,10.0,227.0,0.5406342885073494,5000
