rho,seed,context_split,gamma,reward,spent_ratio,tau
0.55,10125,train,2.0,174.0,0.9998590801954269,3522
0.55,10126,train,2.0,162.0,0.9998980836976659,3526
0.55,10127,train,2.0,201.0,0.9998546390750191,3543
0.55,10128,train,2.0,185.0,0.9999613399722359,3544
0.55,10129,train,2.0,158.0,0.9999341433481737,3553
0.55,10130,train,2.0,182.0,0.9999623896967281,3534
0.55,10131,train,2.0,182.0,0.9999429868242957,3495
0.55,10132,train,2.0,174.0,0.9999668281511827,3563
0.55,10123,train,3.0,211.0,0.9999900470430201,3990
0.55,10124,train,3.0,224.0,0.99987477210435,3976
0.55,10125,train,3.0,208.0,0.9999964975335381,3954
0.55,10126,train,3.0,218.0,0.9999106187386946,3940
0.55,10127,train,3.0,222.0,0.9999440142241391,3971
0.55,10128,train,3.0,186.0,0.9998376388983293,3988
0.55,10129,train,3.0,199.0,0.9998798088485544,4003
0.55,10130,train,3.0,209.0,0.999908668604764,3963
0.55,10131,train,3.0,213.0,0.9999092568700964,3971
0.55,10132,train,3.0,215.0,0.9998833077820865,3979
0.55,10123,train,5.0,221.0,0.9998574904311787,4788
0.55,10124,train,5.0,263.0,0.9999569830244238,4807
0.55,10125,train,5.0,286.0,0.9998924213214354,4798
0.55,10126,train,5.0,288.0,0.9998476920778101,4809
0.55,10127,train,5.0,230.0,0.9998994612477042,4823
0.55,10128,train,5.0,280.0,0.999960708195513,4802
0.55,10129,train,5.0,297.0,0.999879100669514,4808
0.55,10130,train,5.0,271.0,0.9999805431582711,4815
0.55,10131,train,5.0,247.0,0.9998757738200101,4802
0.55,10132,train,5.0,255.0,0.9999826707298105,4834
0.55,10123,train,10.0,273.0,0.8933610692024231,5000
0.55,10124,train,10.0,261.0,0.8923785829218951,5000
0.55,10125,train,10.0,277.0,0.893395574558865,5000
0.55,10126,train,10.0,326.0,0.8941772129102187,5000
0.55,10127,train,10.0,269.0,0.8948964407877489,5000
0.55,10128,train,10.0,313.0,0.8937610231963071,5000
0.55,10129,train,10.0,300.0,0.8937063185735182,5000
0.55,10130,train,10.0,316.0,0.8927364706451243,5000
0.55,10131,train,10.0,305.0,0.893020955432545,5000
0.55,10132,train,10.0,320.0,0.8922465403946963,5000
0.7,10123,train,0.0,182.0,0.9999901312419346,3625
0.7,10124,train,0.0,184.0,0.9999034538524492,3631
0.7,10125,train,0.0,181.0,0.999969404739993,3631
0.7,10126,train,0.0,191.0,0.9999448467918804,3642
0.7,10127,train,0.0,180.0,0.9998858707717487,3643
0.7,10128,train,0.0,171.0,0.9999659794569016,3645
0.7,10129,train,0.0,202.0,0.9999905675734793,3650
0.7,10130,train,0.0,194.0,0.999991302055972,3656
0.7,10131,train,0.0,196.0,0.9999036051971572,3647
0.7,10132,train,0.0,191.0,0.9999744626709393,3659
0.7,10123,train,0.1,194.0,0.9999635454416275,3679
0.7,10124,train,0.1,194.0,0.9999955645884786,3681
0.7,10125,train,0.1,190.0,0.9999510703342301,3683
0.7,10126,train,0.1,199.0,0.9999296984417098,3678
0.7,10127,train,0.1,189.0,0.9999364986675127,3681
0.7,10128,train,0.1,188.0,0.9999483326843807,3672
